id,name,department,salary,city,joining_date,email,phone
1,John,IT,60000,Delhi,2024-01-10,john@gmail.com,9876543210
2,Alice,HR,,Mumbai,2023-05-20,alice@gmail.com,9123456789
3,Bob,IT,70000,Bangalore,2024-03-15,bob@gmail.com,9876543211
3,Bob,IT,70000,Bangalore,2024-03-15,bob@gmail.com,9876543211
4,David,Finance,50000,Pune,2022-11-08,,9876543222
5,Emma,Sales,45000,Delhi,2024-06-11,emma@gmail.com,9876543223
6,Chris,Marketing,55000,Noida,2023-08-09,chris@gmail.com,9876543224
7,Sophia,IT,80000,Hyderabad,2022-12-12,sophia@gmail.com,9876543225
8,James,HR,,Mumbai,2024-04-18,,9876543226
9,Olivia,Finance,90000,Chennai,2021-07-15,olivia@gmail.com,9876543227
